Intervalo de Datas: 01/04/2020 00:00:00 a 30/04/2020 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:00:00 - 02:59:59,44.82,27.15,47.15,62.15,58.32,28.49,47.14,31.99,41.98,55.15,40.31,68.66,24.65,26.82,30.48,36.65,45.65,70.14,62.99,36.32,62.82,33.82,31.49,42.14,61.65,96.30,27.48,41.81,53.64,34.99,"1,373.15"
03:00:00 - 03:59:59,37.16,32.50,38.83,47.32,58.82,35.00,33.83,35.33,36.66,48.33,39.16,41.66,39.16,33.00,30.82,31.83,34.49,48.82,61.81,32.15,51.49,36.66,32.99,39.65,56.33,78.66,31.15,31.83,38.99,50.32,"1,244.75"
04:00:00 - 04:59:59,63.82,64.66,68.48,58.15,43.98,64.65,50.98,63.63,70.15,42.48,63.49,43.15,62.64,67.30,70.30,66.14,83.81,80.81,50.48,69.32,49.48,75.64,59.47,58.46,74.31,69.31,65.81,68.63,79.79,53.47,"1,902.79"
05:00:00 - 05:59:59,244.39,212.12,202.77,158.12,115.98,242.96,207.42,229.59,222.93,105.63,129.81,104.97,221.27,216.62,233.44,211.11,235.27,168.11,114.63,219.91,117.61,226.58,249.09,256.24,167.25,110.12,232.59,224.91,245.39,232.89,"5,859.72"
06:00:00 - 06:59:59,710.66,769.28,758.71,447.94,318.85,765.10,757.36,757.18,782.82,383.69,456.77,319.53,789.17,758.85,746.99,776.53,767.15,459.97,316.03,728.52,434.81,533.60,780.65,800.17,505.10,334.50,868.97,820.65,818.99,852.17,"19,320.71"
07:00:00 - 07:59:59,976.34,926.70,990.93,480.63,237.72,"1,008.92","1,060.05","1,044.87","1,093.17",342.20,513.47,251.72,"1,100.73","1,111.18","1,083.33","1,076.97","1,098.32",563.46,261.42,"1,080.50",431.19,"1,169.72","1,156.59","1,230.77",621.76,285.40,"1,271.58","1,254.97","1,305.02",820.55,"25,850.18"
08:00:00 - 08:59:59,839.50,785.39,712.35,499.19,240.28,782.48,632.61,877.01,905.66,353.71,602.03,243.61,893.49,908.64,916.36,928.80,879.83,597.97,240.10,896.00,426.21,947.11,906.63,960.44,614.15,266.24,725.68,923.89,998.74,377.37,"20,881.47"
09:00:00 - 09:59:59,699.95,710.16,667.81,572.69,292.60,709.09,667.72,768.63,704.42,421.21,603.84,333.73,703.95,742.63,741.81,792.93,756.98,620.33,320.92,775.76,424.52,813.12,817.46,867.39,649.31,332.92,444.25,667.10,772.26,695.04,"19,090.53"
10:00:00 - 10:59:59,713.48,659.34,749.13,639.67,416.90,662.51,723.45,789.63,797.88,551.71,654.84,483.69,690.28,695.28,660.79,714.77,654.01,655.13,393.52,715.80,498.98,798.61,723.23,794.64,620.49,423.39,551.99,615.60,664.96,753.58,"19,467.28"
11:00:00 - 11:59:59,629.83,631.88,660.80,650.64,424.51,693.86,708.00,696.96,721.80,652.15,698.47,563.52,642.62,648.33,655.17,681.76,662.31,704.32,490.69,727.76,522.68,737.10,733.63,698.11,614.78,484.66,530.86,592.85,648.01,728.82,"19,236.88"
12:00:00 - 12:59:59,603.31,628.19,710.17,512.83,373.90,665.96,688.76,670.46,725.27,537.06,637.83,538.06,641.59,681.63,668.47,645.11,696.17,647.01,412.91,648.93,500.39,643.43,702.79,703.29,538.19,420.77,586.26,620.46,676.94,754.98,"18,481.12"
13:00:00 - 13:59:59,701.12,625.33,701.47,546.18,368.23,755.14,787.32,780.06,820.45,403.24,633.65,402.58,731.82,771.29,801.44,730.82,731.80,638.84,381.91,775.93,505.71,807.26,796.83,815.98,555.31,344.74,693.96,735.97,772.32,853.90,"19,970.60"
14:00:00 - 14:59:59,719.01,680.83,736.97,626.39,381.38,816.48,819.73,810.75,877.79,443.21,684.33,417.23,823.29,769.97,714.44,764.75,668.50,658.35,416.35,771.32,487.34,858.10,776.61,828.25,649.34,424.21,673.30,704.15,735.61,830.40,"20,568.38"
15:00:00 - 15:59:59,704.51,707.14,773.64,663.35,427.04,779.14,810.47,812.32,880.65,535.71,730.14,555.54,742.98,734.47,612.45,735.86,646.29,713.48,495.00,889.75,579.32,793.81,748.94,864.95,672.32,502.88,686.80,658.27,822.30,769.61,"21,049.13"
16:00:00 - 16:59:59,754.62,697.66,776.49,672.48,499.88,770.82,777.79,830.43,882.23,563.01,819.47,661.17,812.64,717.99,725.64,726.64,741.45,739.15,586.54,800.30,602.85,810.32,751.30,825.48,711.82,571.25,704.65,788.98,789.45,841.09,"21,953.59"
17:00:00 - 17:59:59,804.76,718.78,840.76,714.64,597.03,824.62,851.11,673.52,917.74,624.13,827.82,777.49,787.46,798.80,790.13,762.45,829.75,818.45,706.84,868.23,713.47,849.45,836.62,948.27,727.19,738.64,816.61,839.93,852.41,904.54,"23,761.64"
18:00:00 - 18:59:59,765.72,769.86,824.58,829.34,718.40,794.38,776.59,667.07,955.24,742.03,903.55,910.72,765.26,813.39,809.06,814.17,823.76,847.65,836.12,822.55,820.26,824.68,866.42,892.03,872.10,825.58,817.59,866.69,804.90,917.19,"24,696.88"
19:00:00 - 19:59:59,598.00,562.19,675.99,646.02,535.71,589.18,662.04,659.16,773.28,564.86,667.98,636.84,593.99,611.70,560.02,585.71,704.53,685.65,590.68,693.03,581.54,567.50,635.74,773.68,675.01,573.89,596.73,632.01,631.55,784.68,"19,048.89"
20:00:00 - 20:59:59,384.88,383.85,425.22,406.86,406.26,396.22,402.38,415.74,517.36,389.06,488.39,419.90,373.89,341.72,391.57,387.05,491.34,481.21,423.87,456.55,388.07,387.71,458.74,504.54,507.86,370.40,394.55,454.91,410.90,569.55,"12,830.55"
21:00:00 - 21:59:59,265.43,259.76,348.05,323.90,304.94,280.57,300.08,322.56,352.40,297.73,317.76,294.26,292.89,260.77,260.05,305.72,363.05,368.89,290.92,347.88,273.92,307.73,351.24,385.23,381.39,272.28,301.57,301.21,300.22,445.88,"9,478.28"
22:00:00 - 22:59:59,259.06,221.26,278.42,273.56,199.94,249.96,263.39,253.41,269.25,207.92,295.10,222.76,224.77,207.75,251.88,224.61,285.86,297.42,223.42,255.44,250.07,236.59,260.59,287.89,313.42,219.59,264.58,257.92,260.94,322.04,"7,638.81"
23:00:00 - 23:59:59,194.11,170.13,181.62,195.44,119.27,179.96,158.97,164.30,201.26,184.95,180.59,153.30,161.96,151.81,189.45,153.78,180.44,259.43,143.28,175.62,178.11,173.94,218.96,213.10,217.80,138.28,136.14,179.13,174.62,221.95,"5,351.70"
Total,"11,900.77","11,425.45","12,360.47","10,215.44","7,421.21","12,223.13","12,387.97","12,545.04","13,729.00","8,670.78","11,193.24","8,711.69","12,250.65","12,281.58","12,121.74","12,326.77","12,581.38","11,331.02","8,095.54","12,956.20","9,123.29","12,823.78","13,053.65","14,009.31","11,051.29","8,205.59","11,562.54","12,453.48","13,053.39","12,981.12","345,046.51"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4931 - Av. Assis Brasil 8207 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABR1AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABR1BP,Faixa 2 central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABR1CP,Faixa 3 central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total
00:00:00 - 00:59:59,90.78,77.43,78.44,98.77,97.27,56.13,72.45,80.61,87.30,104.58,97.10,101.27,99.45,64.29,83.29,100.14,99.28,101.78,169.28,84.29,88.13,91.62,81.63,105.79,143.45,170.42,66.13,92.96,91.96,115.46,"2,891.48"
01:00:00 - 01:59:59,43.32,43.48,51.31,60.30,73.29,43.49,54.65,49.48,47.49,78.29,52.65,64.64,39.48,39.48,41.65,43.65,46.64,60.30,90.98,34.65,60.64,48.15,47.82,52.15,81.63,88.81,39.98,44.82,45.49,58.30,"1,627.01"
02:00:00 - 02:59:59,31.33,31.82,29.66,41.66,52.16,24.82,26.50,28.49,31.83,42.64,33.99,52.16,32.33,23.48,40.66,34.16,29.99,52.14,72.16,20.66,38.82,36.32,41.33,41.98,55.16,68.32,30.00,30.33,50.16,39.49,"1,164.55"
03:00:00 - 03:59:59,32.33,22.33,32.33,24.99,29.32,39.66,24.66,35.65,21.50,31.65,30.50,32.81,27.50,41.66,35.32,37.99,43.49,47.33,42.83,33.66,37.83,51.50,36.32,47.16,53.15,49.98,30.83,48.33,41.50,32.83,"1,096.94"
04:00:00 - 04:59:59,65.83,66.99,52.83,56.16,25.16,63.16,65.16,60.33,65.16,36.66,42.99,26.16,52.32,69.32,53.66,58.16,71.82,68.98,25.66,47.66,32.83,58.66,59.49,70.82,68.16,29.65,62.33,55.82,66.66,90.32,"1,668.91"
05:00:00 - 05:59:59,118.98,150.65,114.81,121.15,58.33,119.80,138.13,130.96,146.30,81.16,88.65,52.32,132.47,142.45,161.13,151.80,134.30,128.65,47.66,115.64,84.64,155.96,166.80,148.64,139.14,73.32,171.13,152.96,159.64,191.81,"3,779.38"
06:00:00 - 06:59:59,455.71,448.26,465.42,237.60,136.63,445.09,486.57,506.21,464.55,171.47,210.29,104.97,486.57,537.86,503.21,496.39,515.74,281.09,131.31,408.74,269.61,564.17,540.04,558.22,297.10,152.79,561.68,547.71,592.35,575.06,"12,152.41"
07:00:00 - 07:59:59,850.01,813.06,811.69,381.26,239.58,901.90,900.17,915.84,946.19,300.93,350.09,205.76,"1,027.97",991.98,"1,015.15","1,004.80",991.66,433.25,244.42,933.12,416.07,"1,086.57","1,067.63","1,116.10",543.22,236.89,"1,171.29","1,139.28","1,133.41","1,166.44","23,335.73"
08:00:00 - 08:59:59,797.37,793.42,782.73,450.10,193.98,798.60,848.36,843.88,898.54,256.62,376.76,216.29,894.38,911.57,979.72,913.71,876.05,569.73,226.10,906.24,404.61,"1,018.03","1,013.86","1,058.32",630.88,235.08,"1,023.69","1,009.88","1,110.20","1,090.56","22,129.26"
09:00:00 - 09:59:59,786.17,715.76,772.08,583.59,287.80,726.24,796.85,858.22,854.72,427.96,564.77,290.30,820.72,873.56,878.21,932.37,910.02,673.74,343.61,838.91,536.11,"1,043.84","1,043.02","1,020.50",820.22,336.80,971.70,"1,026.17",992.34,"1,147.21","22,873.51"
10:00:00 - 10:59:59,781.85,720.89,789.56,728.72,395.27,792.92,813.18,883.82,933.12,605.24,661.53,455.94,840.33,878.16,868.00,914.28,993.03,805.70,499.43,939.98,575.43,"1,057.32","1,059.14","1,114.12",942.03,469.26,907.52,943.83,967.66,"1,090.19","24,427.45"
11:00:00 - 11:59:59,769.66,742.87,785.71,727.55,413.45,820.38,928.97,893.46,973.09,675.74,702.19,545.08,833.00,811.35,894.27,919.33,965.33,911.01,512.55,933.11,616.91,993.48,976.65,"1,018.43",938.12,554.10,941.84,945.60,986.96,"1,088.62","24,818.81"
12:00:00 - 12:59:59,674.70,675.54,772.80,636.33,364.43,723.73,734.16,762.33,887.16,442.41,675.03,408.13,733.97,741.82,769.32,755.97,807.19,756.50,434.77,790.15,430.06,830.93,846.51,927.79,818.65,409.90,820.34,829.49,847.31,992.29,"21,299.71"
13:00:00 - 13:59:59,789.15,775.03,865.37,568.52,306.30,873.91,885.78,939.50,"1,042.77",415.09,635.03,322.43,905.34,997.79,968.44,"1,040.27","1,049.93",756.61,355.10,951.95,557.55,"1,055.27","1,034.40","1,145.85",810.95,387.60,"1,000.11",989.94,"1,094.06","1,237.28","24,757.32"
14:00:00 - 14:59:59,898.77,934.50,956.80,611.51,335.25,942.78,951.41,"1,077.30","1,207.21",396.93,684.84,358.42,956.06,"1,007.08","1,043.93","1,053.42","1,233.07",789.78,377.56,"1,074.91",566.69,"1,171.69","1,109.56","1,240.86",838.79,394.09,"1,066.20","1,088.55","1,236.22","1,347.32","26,951.50"
15:00:00 - 15:59:59,906.23,925.50,"1,081.25",686.50,421.23,"1,029.93","1,093.44","1,141.73","1,263.20",541.03,734.34,496.58,"1,016.50","1,043.68","1,143.72","1,146.68","1,198.57",810.48,506.89,"1,174.34",597.29,"1,239.30","1,199.37","1,408.62",835.28,488.58,"1,199.35","1,182.02","1,215.18","1,520.17","29,246.98"
16:00:00 - 16:59:59,985.05,991.64,"1,141.25",776.95,462.59,"1,066.63","1,052.84","1,209.84","1,403.38",526.56,843.97,539.90,"1,131.89","1,181.21","1,117.85","1,190.68","1,397.35",884.47,522.08,"1,285.95",689.69,"1,391.49","1,295.36","1,463.27",882.12,551.24,"1,234.51","1,260.41","1,358.16","1,637.40","31,475.73"
17:00:00 - 17:59:59,"1,117.27","1,163.97","1,279.32",664.82,501.25,"1,284.33","1,309.24","1,287.92","1,412.72",567.56,785.01,569.45,"1,295.42","1,298.19","1,379.53","1,358.08","1,614.58",842.01,513.90,"1,388.39",672.52,"1,449.57","1,564.49","1,531.13",846.30,556.90,"1,529.13","1,462.01","1,493.13","1,715.19","34,453.33"
