Intervalo de Datas: 01/05/2020 00:00:00 a 18/05/2020 23:59:59,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
10:00:00 - 10:59:59,567.99,710.82,471.02,745.40,840.61,834.63,756.94,829.63,907.96,946.78,793.27,783.35,770.82,795.41,749.39,783.77,503.69,765.21,"13,556.69"
11:00:00 - 11:59:59,613.35,741.26,492.57,753.39,781.48,749.29,771.14,845.91,875.31,"1,069.97",718.44,753.56,736.48,767.08,799.97,868.32,570.17,714.44,"13,622.13"
12:00:00 - 12:59:59,551.71,643.83,465.37,677.76,791.47,735.81,748.10,776.00,797.28,823.20,692.44,760.36,783.02,797.97,798.80,681.36,552.05,770.63,"12,847.16"
13:00:00 - 13:59:59,576.68,644.85,419.22,833.44,840.47,872.75,866.41,912.08,841.50,546.74,854.39,826.23,803.03,863.42,867.93,738.82,431.38,794.31,"13,533.65"
14:00:00 - 14:59:59,573.41,714.47,447.57,830.91,850.32,923.12,898.08,899.75,882.82,512.72,832.24,813.41,842.18,859.01,901.45,771.67,508.17,874.28,"13,935.58"
15:00:00 - 15:59:59,616.66,762.84,593.41,833.63,793.51,860.64,918.95,"1,019.11",964.62,775.85,834.97,825.38,858.19,862.98,948.11,802.83,615.39,895.96,"14,783.03"
16:00:00 - 16:59:59,656.69,790.35,670.35,806.80,797.49,835.60,949.09,994.73,"1,002.60",956.97,896.47,845.52,862.34,881.11,937.43,814.52,699.36,865.44,"15,262.86"
17:00:00 - 17:59:59,791.30,836.81,698.03,922.26,842.78,909.10,"1,018.56","1,057.92","1,061.74","1,162.81",927.32,898.66,929.96,980.23,"1,072.08",977.82,783.66,941.11,"16,812.15"
18:00:00 - 18:59:59,835.01,873.56,861.22,886.19,902.85,894.68,950.22,"1,033.82","1,059.90","1,305.36",915.44,860.62,844.92,955.02,969.52,"1,017.94",973.61,913.33,"17,053.21"
19:00:00 - 19:59:59,660.34,637.85,640.69,627.22,631.52,707.70,710.89,861.82,827.86,882.38,662.76,594.24,665.86,694.00,829.99,749.48,640.16,645.14,"12,669.90"
20:00:00 - 20:59:59,453.54,486.86,402.58,426.09,474.06,430.58,483.37,622.18,639.73,598.41,443.29,399.43,388.59,452.38,615.85,539.71,446.59,450.57,"8,753.81"
21:00:00 - 21:59:59,350.76,363.89,303.42,340.25,324.91,351.74,374.38,458.52,476.56,422.56,299.79,299.27,318.42,313.93,377.55,429.89,345.93,316.89,"6,468.66"
22:00:00 - 22:59:59,293.57,327.21,257.10,280.08,250.09,266.75,270.61,339.89,360.54,306.08,244.45,207.46,242.24,232.75,291.25,308.90,247.95,244.43,"4,971.35"
23:00:00 - 23:59:59,176.93,214.44,151.27,176.47,157.27,192.28,186.44,226.93,266.11,214.77,171.62,151.63,182.46,175.12,233.57,268.95,139.28,184.96,"3,470.50"
Total,"10,090.52","11,775.28","8,635.46","13,756.25","13,985.95","14,312.22","14,706.37","15,839.97","14,650.72","12,935.27","13,999.11","13,726.03","13,890.60","14,453.46","15,314.08","13,145.42","9,465.66","14,003.38","238,685.75"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4931 - Av. Assis Brasil 8207 - C/B,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
ABR1AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
ABR1BP,Faixa 2 central,,,,,,,,,,,,,,,,,,
ABR1CP,Faixa 3 central,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,150.42,118.43,147.26,74.46,99.63,93.13,102.29,107.81,133.95,145.09,104.45,89.79,86.64,104.77,110.28,142.78,161.43,80.46,"2,053.07"
01:00:00 - 01:59:59,89.99,75.47,82.65,47.15,49.82,46.98,49.13,45.81,82.30,75.98,54.15,53.15,59.99,55.32,54.31,98.77,99.97,37.32,"1,158.26"
02:00:00 - 02:59:59,54.64,30.00,83.63,30.49,36.66,33.65,36.00,31.49,63.82,76.15,40.15,38.66,28.82,35.82,50.66,58.32,61.83,43.83,834.62
03:00:00 - 03:59:59,50.14,38.99,30.83,38.66,26.33,40.50,43.00,49.66,41.82,37.33,35.99,39.16,46.33,49.33,41.33,62.50,42.49,34.16,748.55
04:00:00 - 04:59:59,44.83,43.33,26.66,66.32,71.66,57.99,65.49,71.66,68.00,28.65,44.50,71.15,77.82,54.66,61.50,54.99,39.00,53.16,"1,001.37"
05:00:00 - 05:59:59,102.16,94.14,55.82,168.45,150.80,157.47,175.49,181.64,148.65,52.33,145.80,165.47,150.31,162.15,147.82,138.82,58.99,158.65,"2,414.96"
06:00:00 - 06:59:59,242.78,243.61,129.81,607.39,586.21,551.04,538.55,516.57,329.78,137.13,567.37,598.43,522.06,588.05,561.22,329.77,160.81,597.05,"7,807.63"
07:00:00 - 07:59:59,432.91,472.56,240.78,"1,175.99","1,170.48","1,216.15","1,259.97","1,224.66",540.76,280.27,"1,211.45","1,162.16","1,166.87","1,218.45","1,165.31",490.25,244.92,"1,265.75","15,939.69"
08:00:00 - 08:59:59,563.27,538.10,232.97,"1,041.20","1,104.04","1,127.86","1,141.02","1,050.38",690.40,340.63,"1,062.51","1,109.08","1,116.09","1,165.21","1,125.90",679.59,291.43,"1,156.36","15,536.04"
09:00:00 - 09:59:59,717.40,774.23,345.29,993.49,"1,082.49","1,116.34","1,072.00","1,117.13",956.21,624.96,"1,044.81","1,016.72","1,055.33","1,106.49","1,066.51",963.35,432.61,"1,022.19","16,507.55"
10:00:00 - 10:59:59,858.72,844.89,472.08,"1,041.51","1,085.33","1,119.62","1,074.80","1,129.63","1,097.02","1,010.87","1,058.10",941.37,"1,074.56","1,140.97","1,150.76","1,092.15",604.76,"1,052.50","17,849.64"
11:00:00 - 11:59:59,862.40,902.97,587.45,"1,032.44","1,069.30","1,082.47","1,090.63","1,155.10","1,184.96","1,087.52","1,019.10","1,004.20","1,045.17","1,103.58","1,185.14","1,124.33",690.08,"1,055.13","18,281.97"
12:00:00 - 12:59:59,648.72,844.65,436.10,903.62,903.79,950.31,967.98,"1,028.13","1,147.46",692.38,867.47,862.05,937.38,921.49,"1,064.29","1,043.25",541.11,953.99,"15,714.17"
13:00:00 - 13:59:59,609.54,800.32,409.11,"1,080.22","1,091.79","1,170.72","1,187.41","1,228.25","1,020.46",461.77,"1,107.70","1,140.34","1,187.99","1,260.74","1,292.42","1,052.39",497.19,"1,124.44","17,722.80"
14:00:00 - 14:59:59,655.37,880.15,455.90,"1,192.87","1,266.41","1,280.34","1,284.21","1,399.06","1,071.61",543.09,"1,289.87","1,179.85","1,152.99","1,276.24","1,466.96","1,074.45",567.57,"1,284.66","19,321.60"
15:00:00 - 15:59:59,781.01,930.27,516.90,"1,370.33","1,364.51","1,399.18","1,387.12","1,579.05","1,132.09",809.89,"1,371.99","1,283.30","1,322.56","1,374.48","1,562.83","1,200.09",701.89,"1,337.50","21,424.99"
16:00:00 - 16:59:59,710.29,884.62,576.55,"1,413.68","1,399.67","1,463.44","1,556.27","1,628.53","1,116.14",886.87,"1,410.67","1,306.94","1,468.72","1,529.42","1,624.73","1,130.96",722.03,"1,438.90","22,268.43"
17:00:00 - 17:59:59,714.68,835.01,621.70,"1,506.28","1,555.18","1,640.36","1,622.11","1,649.09","1,055.82",955.18,"1,549.56","1,545.39","1,540.76","1,672.17","1,718.42",982.20,753.90,"1,586.34","23,504.15"
