Intervalo de Datas: 01/05/2020 00:00:00 a 18/05/2020 23:59:59,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
03:00:00 - 03:59:59,65.33,41.32,73.32,43.49,33.99,37.16,35.00,47.16,56.82,62.99,54.99,36.99,32.50,35.16,47.15,60.49,63.83,44.33,872.02
04:00:00 - 04:59:59,79.32,63.99,46.99,91.30,64.82,57.48,68.47,57.14,86.48,50.82,69.65,73.98,58.32,58.32,61.31,68.32,78.33,63.47,"1,198.51"
05:00:00 - 05:59:59,167.29,170.27,125.94,318.21,308.42,300.25,315.07,319.08,212.09,133.97,306.09,331.92,300.28,316.43,306.27,216.94,131.63,324.25,"4,604.40"
06:00:00 - 06:59:59,716.75,814.27,596.12,"1,558.07","1,449.12","1,538.55","1,469.57","1,440.29",897.07,606.02,"1,419.36","1,505.56","1,504.36","1,482.43","1,437.04",888.59,632.33,"1,483.39","21,438.89"
07:00:00 - 07:59:59,687.51,932.69,408.58,"2,267.05","2,235.49","2,169.46","2,208.73","2,326.42","1,065.58",456.41,"2,330.59","2,259.24","2,183.50","2,220.99","2,307.11","1,071.96",472.38,"2,382.96","29,986.65"
08:00:00 - 08:59:59,677.01,950.76,354.24,"1,704.82","1,838.36","1,857.98","2,094.98","2,114.61","1,213.05",504.10,"1,942.88","2,030.78","1,899.10","2,210.18","2,204.46","1,169.39",358.78,"2,166.44","27,291.92"
09:00:00 - 09:59:59,669.38,914.62,378.77,"1,373.03","1,418.54","1,736.31","1,722.33","1,655.30","1,203.27",674.72,"1,561.18","1,506.51","1,670.77","1,643.71","1,593.16","1,022.47",422.58,"1,577.54","22,744.19"
10:00:00 - 10:59:59,706.27,901.23,577.50,"1,096.31","1,105.51","1,221.19","1,484.12","1,556.15","1,153.87",917.59,"1,249.03","1,231.78","1,227.45","1,197.63","1,258.10","1,057.70",619.83,"1,315.15","19,876.41"
11:00:00 - 11:59:59,806.10,945.57,684.49,"1,034.40","1,022.92","1,116.23","1,282.70","1,530.02","1,225.04","1,051.50","1,084.52","1,118.84","1,169.44","1,218.82","1,256.85","1,008.70",758.49,"1,227.03","19,541.66"
12:00:00 - 12:59:59,715.10,919.10,670.88,"1,080.05","1,184.03","1,190.13","1,252.18","1,375.49","1,315.74","1,038.48","1,163.31","1,176.30","1,304.28","1,242.36","1,276.51","1,022.57",740.95,"1,192.45","19,859.91"
13:00:00 - 13:59:59,708.64,831.79,510.16,"1,210.50","1,228.90","1,426.77","1,433.81","1,528.43","1,006.92",636.72,"1,300.17","1,352.70","1,494.11","1,417.29","1,404.31","1,084.74",613.50,"1,454.39","20,643.85"
14:00:00 - 14:59:59,755.50,946.64,610.20,"1,201.56","1,150.80","1,294.52","1,414.68","1,404.00","1,055.09",697.19,"1,317.22","1,247.68","1,383.66","1,391.55","1,396.59","1,146.10",743.67,"1,402.57","20,559.22"
15:00:00 - 15:59:59,822.54,992.12,814.86,"1,129.46","1,282.77","1,223.29","1,199.93","1,415.87","1,137.10",948.21,"1,242.71","1,133.04","1,268.52","1,301.77","1,484.57","1,142.63",922.70,"1,230.09","20,692.18"
16:00:00 - 16:59:59,951.84,"1,001.17",962.33,"1,066.58","1,192.29","1,137.58","1,187.69","1,436.98","1,173.06","1,204.16","1,247.20","1,164.38","1,216.05","1,207.59","1,294.38","1,147.47","1,066.63","1,228.24","20,885.62"
17:00:00 - 17:59:59,991.46,"1,092.39","1,047.61","1,050.60","1,149.20","1,166.22","1,215.54","1,332.85","1,246.10","1,451.58","1,191.34","1,195.97","1,162.61","1,269.38","1,374.12","1,196.09","1,147.10","1,225.85","21,506.01"
18:00:00 - 18:59:59,"1,189.30","1,250.93","1,313.29","1,194.50","1,186.98","1,272.13","1,239.48","1,410.08","1,371.78","1,683.84","1,239.85","1,248.75","1,284.03","1,321.48","1,476.59","1,345.64","1,378.77","1,322.14","23,729.56"
19:00:00 - 19:59:59,828.44,824.92,857.64,750.47,877.49,917.74,913.62,991.57,"1,010.14","1,245.64",873.20,796.85,852.33,895.77,"1,102.80",974.60,910.11,827.62,"16,450.95"
20:00:00 - 20:59:59,562.01,560.53,569.03,540.50,573.50,586.87,595.28,854.60,762.15,734.86,506.05,501.38,572.88,606.28,778.78,618.49,623.54,549.52,"11,096.25"
21:00:00 - 21:59:59,404.85,423.18,355.03,374.57,357.01,421.70,391.85,523.31,514.25,431.03,334.06,323.40,361.38,407.55,470.47,451.68,428.21,377.91,"7,351.44"
22:00:00 - 22:59:59,293.71,323.87,264.44,295.42,266.57,305.21,298.24,404.17,385.34,371.58,264.26,275.12,313.60,286.11,365.21,329.02,270.08,285.92,"5,597.87"
23:00:00 - 23:59:59,186.91,213.61,175.44,177.46,179.29,181.79,186.43,279.07,294.09,249.46,158.31,151.81,181.78,208.12,229.74,252.29,189.93,162.13,"3,657.66"
Total,"13,377.49","15,441.19","11,736.30","19,746.29","20,325.62","21,410.68","22,249.98","24,274.52","18,731.10","15,587.60","21,089.90","20,871.09","21,679.56","22,193.71","23,352.78","17,634.29","13,052.45","22,084.99","344,839.54"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4952 - Av. Ipiranga a 16m do nro 2860 - B/C,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
IPI5EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
IPI5FP,Faixa 2 central,,,,,,,,,,,,,,,,,,
IPI5GP,Faixa 3 central,,,,,,,,,,,,,,,,,,
IPI5HP,Faixa 4 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,135.92,142.58,146.77,91.48,85.96,110.78,123.09,124.11,157.25,169.75,113.96,107.96,111.77,121.12,127.45,158.12,139.25,124.60,"2,291.92"
01:00:00 - 01:59:59,89.95,99.12,77.30,38.48,53.65,61.80,68.97,68.32,97.79,96.79,69.81,55.48,68.65,73.81,72.31,89.81,107.65,60.96,"1,350.65"
02:00:00 - 02:59:59,68.47,62.64,74.98,18.32,42.98,46.30,43.32,43.14,54.64,81.96,54.82,36.65,30.33,48.33,43.49,54.29,95.81,33.65,934.12
03:00:00 - 03:59:59,51.32,57.48,63.14,25.33,31.32,36.83,33.99,42.99,42.81,59.98,42.49,34.65,23.65,28.33,40.64,57.81,56.49,34.65,763.90
04:00:00 - 04:59:59,42.32,50.83,40.32,50.49,27.66,32.49,37.15,35.49,61.32,36.00,33.99,50.66,32.16,40.49,39.66,58.15,48.49,35.66,753.33
05:00:00 - 05:59:59,140.13,138.93,91.47,195.43,200.29,187.28,200.28,214.63,156.46,101.81,200.63,176.94,182.47,169.78,190.80,156.97,98.64,192.29,"2,995.23"
06:00:00 - 06:59:59,529.20,550.03,428.19,"1,029.33","1,027.58","1,007.53",986.22,972.10,639.79,453.08,967.32,"1,024.96","1,054.26","1,038.25",998.09,620.69,462.73,"1,020.52","14,809.87"
07:00:00 - 07:59:59,516.55,679.84,325.94,"1,918.04","1,927.18","1,864.48","1,831.23","1,858.07",809.30,391.93,"1,930.66","1,877.61","1,910.28","1,949.49","1,923.00",853.99,379.60,"1,953.64","24,900.83"
08:00:00 - 08:59:59,545.24,772.17,300.43,"1,991.45","2,007.56","2,050.20","2,105.82","2,129.65",995.51,412.42,"2,005.36","2,173.60","2,097.89","2,280.49","2,332.85","1,003.27",314.26,"2,307.11","27,825.28"
09:00:00 - 09:59:59,643.04,886.79,370.76,"1,689.52","1,762.69","1,925.44","1,792.40","1,827.92","1,119.80",552.72,"1,679.69","1,702.41","1,858.21","1,806.91","1,932.05","1,090.10",416.75,"1,812.60","24,869.80"
10:00:00 - 10:59:59,736.32,"1,048.44",568.35,"1,483.92","1,521.78","1,689.73","1,686.46","1,673.05","1,400.81",863.79,"1,569.13","1,616.83","1,749.99","1,603.20","1,716.34","1,215.40",596.47,"1,533.06","24,273.07"
11:00:00 - 11:59:59,855.08,"1,148.11",679.95,"1,380.35","1,450.60","1,525.90","1,403.50","1,653.43","1,484.17","1,075.53","1,391.47","1,423.56","1,572.36","1,535.22","1,578.67","1,375.06",854.18,"1,454.46","23,841.60"
12:00:00 - 12:59:59,780.80,"1,042.78",696.25,"1,432.56","1,536.63","1,609.53","1,624.00","1,642.51","1,323.48","1,055.01","1,473.12","1,512.08","1,689.03","1,586.13","1,645.85","1,270.12",833.36,"1,499.17","24,252.41"
13:00:00 - 13:59:59,738.19,970.75,603.88,"1,698.78","1,765.61","1,831.61","1,790.00","1,869.80","1,191.47",751.83,"1,832.62","1,790.25","1,827.55","1,872.07","1,856.38","1,115.87",682.49,"1,799.90","25,989.05"
14:00:00 - 14:59:59,770.20,981.17,671.08,"1,646.90","1,632.41","1,805.53","1,784.93","1,855.22","1,340.54",711.23,"1,740.35","1,662.42","1,857.29","1,767.67","1,833.89","1,179.95",802.98,"1,723.98","25,767.74"
15:00:00 - 15:59:59,887.62,"1,154.61",879.58,"1,629.08","1,582.59","1,700.37","1,773.50","1,835.38","1,487.75",907.95,"1,623.07","1,448.50","1,702.51","1,777.24","1,814.75","1,376.93","1,069.19","1,640.10","26,290.72"
16:00:00 - 16:59:59,"1,114.05","1,274.35","1,135.55","1,428.27","1,509.17","1,627.60","1,733.58","1,774.99","1,606.72","1,175.19","1,446.95","1,423.17","1,567.33","1,590.36","1,737.08","1,337.27","1,226.97","1,517.01","26,225.61"
17:00:00 - 17:59:59,"1,072.69","1,183.04","1,106.53","1,355.28","1,561.57","1,619.38","1,564.73","1,753.16","1,517.87","1,275.67","1,414.83","1,415.34","1,590.95","1,672.03","1,714.81","1,394.43","1,228.33","1,449.71","25,890.35"
18:00:00 - 18:59:59,"1,096.91","1,134.19","1,131.64","1,326.74","1,416.68","1,380.54","1,405.35","1,496.79","1,358.82","1,304.29","1,264.41","1,256.10","1,404.52","1,472.20","1,510.93","1,249.25","1,199.03","1,354.14","23,762.53"
19:00:00 - 19:59:59,816.72,822.76,821.49,838.50,919.99,"1,021.23",943.23,"1,162.76","1,062.66",951.16,819.45,886.47,961.07,"1,054.44","1,159.64",974.68,858.19,838.94,"16,913.38"
20:00:00 - 20:59:59,592.59,554.60,517.86,564.70,633.46,716.33,659.97,864.20,779.85,620.13,521.73,565.82,662.64,682.72,832.86,646.41,586.50,539.69,"11,542.06"
21:00:00 - 21:59:59,403.85,430.77,361.76,400.79,413.03,420.01,440.69,587.24,546.45,393.55,309.94,356.55,425.32,427.49,550.79,490.92,401.58,387.57,"7,748.30"
22:00:00 - 22:59:59,272.26,302.97,241.01,215.57,278.28,277.16,302.12,368.35,334.41,271.36,219.40,235.51,298.99,254.64,361.69,326.47,240.66,240.33,"5,041.18"
23:00:00 - 23:59:59,192.07,202.03,159.92,153.11,167.91,176.10,196.75,266.18,247.65,159.10,157.58,169.92,168.09,181.59,242.70,199.55,180.21,153.91,"3,374.37"
Total,"13,091.49","15,690.98","11,494.15","22,602.42","23,556.58","24,724.15","24,531.28","26,119.48","19,817.32","13,872.23","22,882.78","23,003.44","24,847.31","25,034.00","26,256.72","18,295.51","12,879.81","23,707.65","372,407.30"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4953 - Av. Juca Batista a 200m do nro 8455 - C/B,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
JUC3AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,42.11,43.45,49.13,36.97,25.66,40.30,28.97,38.63,57.27,58.78,30.97,25.99,27.65,29.15,33.81,46.29,78.12,30.64,723.89
01:00:00 - 01:59:59,21.99,35.99,28.98,14.50,15.99,15.99,11.99,20.33,35.65,39.32,13.66,10.99,12.99,21.82,19.66,39.32,57.80,19.49,436.46
02:00:00 - 02:59:59,19.66,12.99,18.99,10.49,6.50,7.33,7.66,10.50,17.33,25.33,7.33,7.00,7.33,15.82,8.33,22.00,33.00,9.33,246.92
03:00:00 - 03:59:59,8.32,12.33,19.66,6.82,5.33,3.99,6.33,6.33,22.66,20.00,3.33,3.33,4.66,6.32,5.65,12.50,12.32,9.32,169.20
04:00:00 - 04:59:59,24.32,18.49,14.33,6.33,10.16,10.33,12.16,9.66,16.83,27.33,12.66,12.16,11.32,14.32,10.99,23.15,17.99,14.32,266.85
05:00:00 - 05:59:59,20.33,25.00,19.16,25.66,25.66,22.33,26.16,22.83,19.83,27.49,30.65,33.00,28.66,30.16,28.32,20.83,21.82,25.33,453.22
06:00:00 - 06:59:59,40.16,50.98,41.66,58.32,45.82,51.15,51.82,52.15,36.83,42.32,49.32,49.49,45.66,51.65,46.49,39.66,42.32,53.82,849.62
07:00:00 - 07:59:59,97.29,93.30,58.81,171.26,167.28,140.10,138.45,136.96,101.12,64.47,180.10,142.63,143.13,158.79,142.11,79.13,49.80,174.62,"2,239.35"
08:00:00 - 08:59:59,127.80,131.65,67.82,199.80,195.31,228.97,211.63,213.29,155.97,72.15,209.47,179.48,188.30,205.45,235.29,126.64,59.15,239.29,"3,047.46"
09:00:00 - 09:59:59,127.97,173.97,100.31,247.27,230.30,225.60,246.13,233.95,205.79,159.45,260.27,224.14,225.30,229.64,238.78,199.45,102.80,228.95,"3,660.07"
10:00:00 - 10:59:59,195.62,226.61,164.29,234.77,266.43,271.45,220.14,271.11,237.78,292.08,263.76,230.64,108.31,246.45,261.11,266.63,160.62,227.79,"4,145.59"
11:00:00 - 11:59:59,217.14,296.09,210.62,256.92,282.75,249.93,248.05,317.92,326.08,345.43,270.57,243.14,158.31,241.24,287.93,278.61,216.27,242.61,"4,689.61"
12:00:00 - 12:59:59,183.43,277.06,185.10,225.07,254.74,240.20,287.42,291.87,304.88,262.92,247.07,195.63,231.44,250.22,282.23,271.90,190.10,242.91,"4,424.19"
13:00:00 - 13:59:59,167.29,228.74,150.77,240.62,254.76,246.09,282.24,308.23,257.43,144.11,238.59,227.79,233.11,241.94,282.42,237.44,154.62,236.59,"4,132.78"
14:00:00 - 14:59:59,168.77,278.26,163.09,319.53,277.76,318.08,319.08,344.73,300.09,175.74,272.74,252.96,296.60,285.27,319.93,304.91,198.92,293.73,"4,890.19"
15:00:00 - 15:59:59,237.89,313.90,237.08,348.54,296.73,327.94,346.90,374.36,335.07,268.94,331.05,279.46,283.78,310.20,348.08,312.26,269.40,316.22,"5,537.80"
16:00:00 - 16:59:59,271.07,270.38,234.41,349.53,328.25,331.40,345.89,391.70,326.59,288.07,312.56,278.26,297.07,359.03,378.37,312.91,271.26,336.72,"5,683.47"
17:00:00 - 17:59:59,214.60,264.74,220.10,373.88,394.02,382.71,391.22,454.51,359.60,223.93,385.35,356.76,345.42,369.03,413.00,304.75,231.58,398.88,"6,084.08"
18:00:00 - 18:59:59,233.92,259.09,202.27,377.66,378.03,406.95,383.18,473.95,318.89,252.10,366.53,336.07,376.89,391.00,422.72,310.90,231.57,391.15,"6,112.87"
19:00:00 - 19:59:59,180.24,222.90,177.44,237.07,257.54,269.88,276.91,313.03,258.24,198.59,244.91,245.42,223.41,298.23,302.38,243.23,181.08,259.73,"4,390.23"
20:00:00 - 20:59:59,151.38,174.89,134.78,153.61,160.57,159.27,171.90,237.74,190.90,145.75,150.11,140.26,151.75,158.59,184.72,165.74,129.92,166.25,"2,928.13"
21:00:00 - 21:59:59,90.26,97.93,85.76,91.78,83.44,109.61,108.25,149.23,139.25,106.94,89.97,99.96,102.78,124.28,146.25,133.25,93.61,102.27,"1,954.82"
22:00:00 - 22:59:59,69.43,73.29,50.29,52.97,60.63,58.62,83.44,96.26,92.44,60.97,59.80,50.44,54.64,61.78,80.78,79.08,70.62,52.97,"1,208.45"
23:00:00 - 23:59:59,60.11,60.11,41.12,36.44,40.64,46.28,59.23,78.61,68.92,48.79,32.14,39.63,44.64,45.79,65.60,66.29,40.81,49.80,924.95
Total,"2,971.10","3,642.14","2,675.97","4,075.81","4,064.30","4,164.50","4,265.15","4,847.88","4,185.44","3,351.00","4,062.91","3,664.63","3,603.15","4,146.17","4,544.95","3,896.87","2,915.50","4,122.73","69,200.20"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4954 - Av. Juca Batista defronte 8455 - B/C,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
JUC4EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,48.65,35.98,42.66,26.49,20.99,23.99,26.15,33.95,39.32,56.98,37.16,27.33,16.33,27.32,17.66,41.33,56.15,33.66,612.10
01:00:00 - 01:59:59,15.33,28.98,24.66,15.00,13.33,15.33,7.33,19.33,28.99,36.15,12.50,12.16,12.49,17.66,17.33,35.00,39.32,10.33,361.22
02:00:00 - 02:59:59,16.99,17.66,27.16,10.66,3.00,4.83,6.00,10.50,19.33,12.66,4.00,8.00,3.33,7.66,6.33,20.33,27.66,15.49,221.59
03:00:00 - 03:59:59,25.33,25.65,23.00,7.33,7.50,6.66,14.33,10.00,30.99,24.50,7.00,7.00,6.00,9.99,6.33,15.66,20.65,13.99,261.91
04:00:00 - 04:59:59,21.16,20.33,19.83,15.50,11.50,16.00,11.33,11.33,19.99,18.00,11.83,12.83,11.99,16.33,13.66,21.99,22.99,16.33,292.92
05:00:00 - 05:59:59,23.49,32.32,27.32,44.32,39.16,47.65,38.66,43.99,27.49,21.66,41.98,38.16,43.33,46.82,44.32,28.32,37.48,43.65,670.12
06:00:00 - 06:59:59,80.48,95.64,62.81,163.93,134.46,157.26,153.28,166.11,101.80,58.65,158.78,160.63,156.95,162.94,157.27,88.47,75.47,165.77,"2,300.70"
07:00:00 - 07:59:59,103.63,171.09,75.98,282.85,312.89,290.55,311.01,304.85,156.94,69.47,295.21,284.07,306.10,317.53,316.22,151.43,72.65,308.53,"4,131.00"
08:00:00 - 08:59:59,131.29,178.12,54.82,293.59,341.76,305.44,320.09,322.94,209.61,84.14,319.91,281.81,289.27,312.27,315.75,192.78,60.62,329.26,"4,343.47"
09:00:00 - 09:59:59,139.98,178.77,94.97,259.27,263.28,289.43,244.97,270.11,250.46,166.64,305.60,217.31,241.79,263.11,270.42,201.97,103.31,261.79,"4,023.18"
10:00:00 - 10:59:59,158.46,246.80,141.15,243.12,286.80,261.94,282.47,319.10,259.78,225.64,257.27,246.96,131.82,223.60,253.27,248.97,138.46,236.45,"4,162.06"
11:00:00 - 11:59:59,182.28,252.92,175.63,230.10,248.26,259.27,237.93,284.06,302.38,253.24,263.92,210.96,155.45,262.59,261.09,248.96,191.62,248.61,"4,269.27"
12:00:00 - 12:59:59,164.30,212.09,135.28,228.27,239.09,210.59,235.25,245.39,238.60,149.61,231.77,209.80,213.44,252.74,265.95,231.93,166.45,227.41,"3,857.96"
13:00:00 - 13:59:59,131.62,201.41,111.30,275.43,255.74,272.93,300.22,306.35,212.58,119.15,244.74,241.46,254.76,247.91,252.23,193.76,134.63,232.40,"3,988.62"
14:00:00 - 14:59:59,171.13,253.26,137.45,285.23,292.91,334.92,334.77,359.41,254.92,180.27,274.39,260.32,277.78,280.23,293.90,274.43,156.60,303.87,"4,725.79"
15:00:00 - 15:59:59,196.42,256.93,228.26,318.07,289.43,317.26,322.42,370.55,309.25,212.75,298.91,272.12,306.28,292.25,342.42,306.72,219.41,270.41,"5,129.86"
16:00:00 - 16:59:59,250.61,292.75,272.81,305.39,287.90,317.10,326.27,352.75,347.09,310.95,337.08,241.79,278.24,317.43,341.25,300.75,282.09,310.77,"5,473.02"
17:00:00 - 17:59:59,284.75,327.58,325.91,300.93,308.74,328.25,324.75,394.76,377.42,390.93,308.40,289.44,275.59,332.58,352.41,372.59,384.39,336.59,"6,016.01"
18:00:00 - 18:59:59,257.38,260.39,332.74,272.27,275.38,269.72,307.58,328.26,330.94,376.24,279.44,225.94,241.93,266.09,293.60,330.05,362.08,247.12,"5,257.15"
19:00:00 - 19:59:59,192.59,179.43,184.45,174.08,163.13,181.90,170.95,235.58,236.08,220.91,140.48,140.44,141.44,161.44,222.08,200.42,184.96,173.93,"3,304.29"
20:00:00 - 20:59:59,115.59,121.92,112.95,101.63,121.75,94.62,108.94,128.41,138.08,119.77,98.79,70.43,83.78,121.44,121.76,128.92,119.94,105.27,"2,013.99"
21:00:00 - 21:59:59,92.92,85.13,85.43,79.13,69.78,67.12,83.27,114.08,111.61,86.29,53.31,54.63,71.27,84.61,97.27,89.25,99.45,68.11,"1,492.66"
22:00:00 - 22:59:59,63.29,52.62,49.81,57.29,48.29,71.64,71.27,80.77,90.79,71.13,45.49,55.47,55.82,51.31,75.28,73.29,50.30,53.98,"1,117.84"
23:00:00 - 23:59:59,48.64,51.49,42.47,31.16,29.33,34.15,34.32,60.95,61.63,44.15,30.15,29.32,38.99,31.98,51.64,70.30,32.48,34.65,757.80
Total,"2,916.31","3,579.26","2,788.85","4,021.04","4,064.40","4,178.55","4,273.56","4,773.53","4,156.07","3,309.88","4,058.11","3,598.38","3,614.17","4,107.83","4,389.44","3,867.62","3,039.16","4,048.37","68,784.53"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4955 - Av. Da Legalidade e da Democracia I/C a 40m da Av. São Pedro,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
LEG1EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
LEG1FP,Faixa 2 central,,,,,,,,,,,,,,,,,,
LEG1GP,Faixa 3 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,234.31,192.14,207.16,178.15,150.48,166.47,168.32,179.15,243.15,230.98,221.82,163.83,148.16,161.31,161.13,250.64,291.13,207.49,"3,555.82"
01:00:00 - 01:59:59,133.49,128.66,123.16,100.16,68.99,96.66,72.83,79.81,133.32,155.82,116.99,103.66,70.83,89.83,85.80,148.50,129.49,83.49,"1,921.49"
02:00:00 - 02:59:59,84.49,83.16,84.33,50.32,50.00,53.50,44.50,53.83,99.66,100.33,46.82,51.83,42.50,45.83,46.50,101.99,99.33,64.00,"1,202.92"
03:00:00 - 03:59:59,74.16,77.33,66.83,53.66,46.83,55.66,37.49,49.66,94.33,68.50,48.66,60.00,44.83,45.83,37.83,87.49,77.49,47.50,"1,074.08"
04:00:00 - 04:59:59,89.50,169.33,57.50,98.99,69.49,77.49,85.66,69.33,156.99,62.16,89.83,76.50,58.83,76.49,76.65,177.66,56.15,80.83,"1,629.38"
05:00:00 - 05:59:59,219.48,305.81,197.33,524.46,450.46,443.81,451.80,459.30,361.31,173.31,505.46,433.64,437.98,487.30,441.30,338.29,163.82,508.94,"6,903.80"
06:00:00 - 06:59:59,975.48,"1,116.20",778.84,"2,375.01","2,168.59","2,179.29","2,170.25","2,232.55","1,255.65",792.34,"2,434.19","2,196.69","2,188.77","2,237.24","2,138.22","1,300.00",773.84,"2,316.82","31,629.97"
07:00:00 - 07:59:59,938.18,"1,384.99",629.91,"3,456.50","3,593.64","3,712.92","3,738.76","3,435.67","1,640.82",649.43,"3,842.67","3,546.94","3,787.93","3,759.13","3,446.50","1,573.63",615.59,"3,903.59","47,656.80"
08:00:00 - 08:59:59,915.72,"1,398.96",517.61,"3,236.08","3,767.17","3,765.60","3,762.83","3,366.04","1,901.10",691.28,"3,814.96","3,906.06","3,877.57","3,795.34","3,312.84","1,802.80",543.47,"4,074.43","48,449.86"
09:00:00 - 09:59:59,997.06,"1,287.01",580.96,"3,076.07","2,879.04","2,946.03","2,996.52","3,048.76","1,816.01",915.26,"2,869.50","2,877.83","2,834.56","3,164.61","3,161.55","1,712.81",617.92,"3,127.35","40,908.85"
10:00:00 - 10:59:59,"1,096.53","1,501.80",774.20,"2,360.50","2,327.27","2,499.17","2,413.68","2,548.17","1,935.95","1,462.17","2,422.23","2,265.00","2,266.29","2,417.16","2,434.03","1,744.33",897.54,"2,495.03","35,861.05"
11:00:00 - 11:59:59,"1,152.33","1,439.33",951.62,"2,151.42","2,073.54","2,105.72","2,109.50","2,201.22","1,852.05","1,733.50","2,390.34","2,003.16","1,949.32","2,091.63","2,198.86","1,593.46","1,093.52","2,182.07","33,272.59"
12:00:00 - 12:59:59,"1,173.19","1,262.15","1,010.01","2,437.85","2,288.53","2,332.16","2,370.52","2,457.70","1,788.22","1,340.86","2,382.67","2,243.10","2,366.50","2,330.90","2,370.70","1,623.43","1,063.82","2,424.32","35,266.63"
13:00:00 - 13:59:59,912.53,"1,181.79",905.53,"2,584.35","2,668.24","2,615.35","2,534.20","2,648.34","1,592.91",896.73,"2,614.37","2,357.03","2,521.95","2,668.18","2,697.50","1,588.42",886.69,"2,702.30","36,576.41"
14:00:00 - 14:59:59,"1,173.48","1,322.97","1,288.55","2,551.79","2,563.88","2,620.29","2,910.16","2,702.10","1,809.55","1,053.01","2,577.76","2,615.09","2,556.72","2,602.46","2,801.11","1,645.39","1,314.80","2,659.18","38,768.29"
15:00:00 - 15:59:59,"1,359.64","1,524.15","1,712.24","2,227.49","2,311.54","2,377.65","2,452.31","2,653.81","1,908.79","1,785.83","2,470.79","2,233.52","2,239.64","2,489.92","2,599.88","1,803.48","1,850.67","2,446.47","38,447.82"
16:00:00 - 16:59:59,"1,477.90","1,567.02","2,194.38","2,260.39","2,331.63","2,272.96","2,430.10","2,750.00","2,016.88","2,369.20","2,395.03","2,151.70","2,331.76","2,441.10","2,632.90","1,891.24","2,332.62","2,423.39","40,270.20"
17:00:00 - 17:59:59,"1,596.04","1,746.88","2,364.01","2,887.00","2,778.94","2,914.90","3,005.89","3,174.05","2,154.99","2,959.36","2,923.83","2,758.32","2,886.44","3,007.40","3,149.66","1,942.69","2,444.48","2,926.49","47,621.37"
18:00:00 - 18:59:59,"1,767.69","1,848.08","2,662.23","2,662.67","2,654.23","2,712.54","2,808.55","2,962.08","2,300.86","3,299.02","2,678.93","2,586.62","2,692.42","2,854.33","2,982.22","2,145.21","2,685.85","2,811.50","47,115.03"
19:00:00 - 19:59:59,"1,235.22","1,321.02","2,129.54","1,550.54","1,454.37","1,527.53","1,631.90","1,948.21","1,589.50","2,481.88","1,493.91","1,399.61","1,479.04","1,699.03","1,852.18","1,549.55","2,051.03","1,563.68","29,957.74"
20:00:00 - 20:59:59,750.29,852.20,"1,619.59",894.24,878.61,917.94,964.58,"1,229.55","1,067.75","1,575.60",897.80,777.80,864.45,984.44,"1,261.09","1,005.58","1,347.43",932.93,"18,821.87"
