Intervalo de Datas: 01/02/2020 00:00:00 a 29/02/2020 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:00:00 - 05:59:59,63.49,56.48,70.98,73.31,60.49,52.31,69.64,54.16,44.49,76.82,65.82,63.32,70.82,60.66,69.14,61.14,66.32,82.48,64.66,76.16,75.99,79.65,28.49,51.32,45.32,66.32,56.32,65.31,52.49,"1,823.90"
06:00:00 - 06:59:59,122.79,84.48,246.60,226.13,214.95,224.93,230.61,137.80,73.15,224.42,209.96,202.45,227.29,229.94,125.31,70.81,244.93,241.27,211.24,239.59,249.60,114.47,68.81,115.29,83.97,192.75,220.44,227.94,124.12,"5,186.04"
07:00:00 - 07:59:59,167.96,87.31,274.75,293.04,296.90,291.69,275.88,212.76,92.80,306.38,299.20,320.91,284.90,293.73,187.77,95.29,297.05,293.59,329.37,299.39,303.38,181.28,84.30,168.11,85.31,241.76,300.03,297.04,177.59,"6,839.47"
08:00:00 - 08:59:59,221.04,99.27,264.91,248.05,265.05,240.57,249.07,207.41,104.15,247.92,232.93,260.89,263.69,259.58,199.25,111.13,241.91,228.74,231.38,257.41,233.28,193.59,98.29,147.46,92.14,200.45,244.26,241.78,218.06,"6,103.66"
09:00:00 - 09:59:59,199.08,151.92,236.54,233.09,209.40,226.75,220.38,227.70,131.77,231.90,228.92,232.42,208.92,255.73,430.14,135.62,252.25,187.77,212.91,243.76,221.76,196.07,123.44,165.41,123.76,212.77,224.09,199.92,229.90,"6,154.09"
10:00:00 - 10:59:59,222.24,198.09,222.21,203.58,195.27,212.96,249.58,254.88,181.41,228.24,196.41,214.61,243.59,250.27,213.21,186.93,196.75,185.43,218.90,220.61,228.10,240.06,145.96,183.58,149.42,230.25,204.58,222.08,222.37,"6,121.57"
11:00:00 - 11:59:59,239.69,215.21,212.08,229.61,221.61,204.59,217.77,247.07,230.87,183.07,237.41,232.60,247.42,216.42,245.39,209.72,236.44,251.45,221.26,225.43,233.72,274.07,195.39,183.42,156.80,256.72,228.94,267.40,245.09,"6,566.66"
12:00:00 - 12:59:59,192.09,201.12,171.78,180.11,199.27,185.61,202.09,191.62,189.93,190.60,168.28,173.94,180.14,189.25,223.94,209.93,189.92,208.42,203.11,196.08,218.43,206.26,161.59,143.44,137.94,204.91,195.10,211.95,219.44,"5,546.29"
13:00:00 - 13:59:59,178.12,156.28,176.45,190.42,201.75,196.11,184.11,226.41,185.97,179.59,184.94,179.45,194.58,185.76,199.43,212.09,182.62,196.10,214.12,208.41,201.44,173.09,156.13,169.95,155.12,221.62,226.77,238.28,190.76,"5,565.87"
14:00:00 - 14:59:59,227.58,188.28,209.79,218.28,191.91,207.45,220.28,214.40,201.94,232.42,195.62,207.62,201.62,190.44,233.09,195.62,186.10,197.06,202.62,203.59,233.26,232.58,184.46,179.96,204.60,198.76,196.44,206.27,230.58,"5,992.62"
15:00:00 - 15:59:59,268.25,311.75,201.95,238.44,237.60,210.60,238.61,238.59,272.93,206.58,245.63,213.76,204.29,237.59,219.73,323.42,220.29,229.26,208.09,228.10,229.24,226.07,248.24,227.41,208.59,181.60,215.44,245.77,270.43,"6,808.25"
16:00:00 - 16:59:59,268.38,408.38,209.11,238.77,241.60,214.57,269.28,333.51,325.54,230.08,267.75,256.60,239.44,284.23,259.91,369.54,286.51,256.25,254.09,265.25,264.91,253.08,338.74,263.75,300.42,218.93,236.94,254.08,269.24,"7,878.88"
17:00:00 - 17:59:59,275.14,533.24,236.21,248.36,291.73,266.09,326.73,451.82,407.04,261.89,231.24,262.05,266.39,272.22,280.07,549.66,262.08,262.58,279.08,269.22,274.69,253.58,425.22,326.38,530.02,246.23,258.08,263.41,320.05,"9,130.50"
18:00:00 - 18:59:59,314.52,606.01,232.92,226.87,224.54,224.33,262.53,380.37,427.04,219.88,234.70,246.93,215.38,260.06,286.81,650.83,237.18,224.57,229.53,254.86,269.72,306.52,415.63,359.66,409.18,233.87,218.53,231.88,351.31,"8,756.16"
19:00:00 - 19:59:59,295.02,594.52,204.38,189.90,205.16,229.68,226.80,265.58,407.00,177.74,199.55,196.03,225.01,202.19,315.45,632.68,167.88,169.91,206.71,208.38,227.01,279.36,394.82,359.91,299.63,175.39,195.40,211.29,338.08,"7,800.46"
20:00:00 - 20:59:59,217.35,404.52,118.78,175.88,156.85,161.36,190.09,208.80,254.04,162.91,156.42,150.26,165.25,169.08,243.67,431.75,121.40,133.26,150.73,145.58,172.55,160.75,203.26,183.41,143.05,132.78,105.74,174.37,240.52,"5,434.41"
21:00:00 - 21:59:59,161.92,221.40,107.97,87.11,111.42,112.10,144.72,138.93,161.11,97.61,82.44,89.43,102.77,135.09,161.91,186.56,96.94,100.96,113.09,108.78,151.95,118.11,123.94,93.27,82.74,89.80,96.94,126.27,142.44,"3,547.72"
22:00:00 - 22:59:59,120.96,130.28,65.80,54.81,73.31,75.46,102.11,129.45,94.11,50.14,73.14,76.64,98.96,84.64,101.30,106.47,46.32,62.48,68.78,85.97,98.13,90.64,80.47,64.48,77.62,56.65,66.30,101.11,118.96,"2,455.49"
23:00:00 - 23:59:59,75.30,90.63,32.49,41.48,44.80,55.47,67.82,94.14,52.81,48.32,37.66,55.98,56.31,57.15,99.81,81.15,35.99,31.66,50.99,58.65,72.98,87.98,46.49,44.66,41.32,49.32,38.65,55.82,79.46,"1,685.29"
Total,"3,970.88","5,006.77","3,628.66","3,679.22","3,716.76","3,681.45","4,041.09","4,410.67","4,045.85","3,679.64","3,658.84","3,706.88","3,776.57","3,916.49","4,269.10","5,058.57","3,709.01","3,610.23","3,745.48","3,880.36","4,039.97","3,829.02","3,705.11","3,564.00","3,441.75","3,492.02","3,592.82","3,898.46","4,196.17","112,951.84"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4950 - Av. Ipiranga a 15m do nro 8185 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPI3AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPI3BP,Faixa 2 central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPI3CP,Faixa 3 central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPI3DP,Faixa 4 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
00:00:00 - 00:59:59,583.37,480.96,337.17,372.97,421.27,483.55,537.89,688.55,582.82,386.49,408.77,453.23,487.93,474.38,604.06,588.08,339.01,375.28,395.94,440.10,454.24,514.42,431.50,272.83,312.51,303.03,699.71,389.07,544.39,"13,363.52"
01:00:00 - 01:59:59,365.88,319.56,189.08,197.24,197.44,240.75,231.08,349.23,363.40,188.25,198.07,210.08,232.92,233.74,332.18,334.53,191.09,178.42,223.90,229.07,228.25,287.39,248.76,167.95,217.28,157.63,205.58,220.27,316.37,"7,055.39"
02:00:00 - 02:59:59,222.26,230.10,102.31,87.61,141.29,121.79,182.75,270.91,232.63,94.62,124.27,96.97,107.45,123.29,229.11,265.26,84.97,110.63,107.30,135.96,144.29,188.28,142.28,116.80,105.62,96.31,82.64,98.63,216.27,"4,262.60"
03:00:00 - 03:59:59,166.28,149.63,59.14,63.47,62.98,79.98,104.47,202.44,192.78,60.97,62.32,69.63,90.29,81.14,168.95,217.12,67.14,45.16,55.99,74.98,87.46,118.31,109.46,61.81,87.14,43.99,49.65,67.65,170.28,"2,870.61"
04:00:00 - 04:59:59,186.62,131.30,70.65,92.31,98.29,103.29,101.76,173.77,170.31,59.31,74.15,106.47,77.96,111.48,191.44,168.64,79.65,67.81,82.98,109.13,100.47,154.64,88.79,53.48,69.46,74.14,59.97,61.31,154.61,"3,074.19"
05:00:00 - 05:59:59,223.95,164.49,168.96,136.47,165.12,161.79,175.96,233.28,197.98,158.98,154.31,142.64,150.47,174.46,227.94,202.63,135.81,141.46,155.96,156.97,177.79,210.63,138.81,104.30,95.96,163.65,153.81,166.14,39.33,"4,680.05"
06:00:00 - 06:59:59,403.36,323.50,442.52,413.36,430.22,406.55,471.54,412.68,329.41,457.70,462.87,459.20,438.18,454.83,392.97,303.85,509.82,473.52,455.85,445.66,465.86,419.39,254.25,297.41,274.22,447.56,439.83,506.81,218.92,"11,811.84"
07:00:00 - 07:59:59,671.05,464.61,"1,078.69",986.49,"1,026.32","1,020.48","1,076.81",760.73,549.14,"1,083.86","1,065.14","1,041.34","1,080.00","1,068.63",720.59,558.29,"1,129.68","1,171.16","1,227.84","1,155.32","1,200.79",698.27,515.94,602.44,443.76,940.67,"1,170.49","1,180.32",686.38,"26,375.23"
08:00:00 - 08:59:59,771.13,394.06,"1,028.75","1,042.08","1,007.71","1,105.29","1,114.24",830.30,389.43,"1,107.93","1,101.72","1,102.28","1,090.73","1,139.80",825.12,570.88,"1,161.03","1,160.92","1,120.93","1,131.89","1,145.25",654.71,354.40,508.06,376.76,766.21,"1,105.24","1,121.10",701.64,"25,929.59"
09:00:00 - 09:59:59,812.64,415.44,"1,077.46","1,118.06","1,113.90","1,122.26","1,134.90",900.65,438.27,"1,103.77","1,169.28","1,138.60","1,168.14","1,135.27","1,805.68",503.04,"1,141.38","1,177.77","1,183.88","1,176.21","1,158.26",681.37,389.60,524.88,393.24,760.38,"1,120.09","1,139.87",905.64,"27,909.93"
10:00:00 - 10:59:59,"1,022.13",594.89,"1,202.93","1,180.22","1,177.15","1,232.84","1,224.34","1,075.94",592.41,"1,229.37","1,170.23","1,204.42","1,195.87","1,211.02","1,086.98",629.05,"1,199.51","1,251.21","1,187.21","1,241.84","1,217.87",893.44,526.55,632.36,493.23,819.50,"1,107.94","1,117.51","1,096.44","29,814.40"
11:00:00 - 11:59:59,"1,136.20",895.37,"1,295.63","1,376.09","1,363.32","1,321.74","1,358.61","1,286.02",825.03,"1,289.19","1,321.77","1,222.59","1,267.16","1,388.40","1,217.07",831.33,"1,323.16","1,375.62","1,322.83","1,362.15","1,384.35",881.89,676.19,656.81,617.39,956.46,"1,231.15","1,366.84","1,214.72","33,765.08"
12:00:00 - 12:59:59,"1,209.76",739.68,"1,193.29","1,287.96","1,306.59","1,188.24","1,246.86","1,245.88",798.17,"1,203.81","1,235.96","1,207.27","1,303.90","1,354.55","1,311.64",900.60,"1,292.06","1,391.48","1,358.62","1,350.28","1,496.55","1,035.98",581.98,629.44,612.13,"1,051.57","1,288.57","1,416.17","1,377.21","33,616.20"
13:00:00 - 13:59:59,"1,129.51",685.32,"1,104.24","1,188.26","1,251.66","1,224.11","1,379.44","1,195.29",727.20,"1,186.85","1,279.61","1,225.11","1,237.31","1,418.53","1,243.30",856.11,"1,271.16","1,295.30","1,271.64","1,306.15","1,514.34",986.32,495.79,650.62,629.86,"1,254.81","1,318.31","1,395.13","1,242.42","32,963.70"
14:00:00 - 14:59:59,"1,090.47",662.99,"1,261.46","1,294.72","1,368.37","1,268.06","1,460.47","1,124.15",687.01,"1,302.80","1,317.73","1,319.91","1,318.99","1,474.45","1,182.33",765.13,"1,347.09","1,409.41","1,417.15","1,403.76","1,638.32",975.52,494.86,734.55,672.63,"1,228.65","1,316.53","1,444.18","1,221.09","34,202.78"
15:00:00 - 15:59:59,"1,121.06",761.72,"1,463.36","1,563.76","1,475.41","1,605.00","1,633.59","1,192.51",807.30,"1,444.86","1,448.94","1,408.94","1,505.27","1,674.59","1,299.10",824.44,"1,586.24","1,564.51","1,485.92","1,653.37","1,772.10",951.01,609.96,835.97,805.41,"1,311.25","1,532.57","1,594.45","1,244.47","38,177.08"
16:00:00 - 16:59:59,"1,158.27",796.82,"1,757.86","1,778.48","1,785.52","1,777.66","1,972.04","1,257.30",848.84,"1,744.21","1,752.16","1,786.52","1,776.99","1,978.62","1,275.83",931.30,"1,945.69","1,866.31","1,771.55","1,851.96","2,078.74","1,025.89",653.16,903.22,802.15,"1,599.49","1,736.35","1,996.68","1,346.75","43,956.36"
17:00:00 - 17:59:59,"1,256.31",886.99,"2,269.16","2,468.94","2,378.41","2,327.99","2,321.14","1,340.79","1,058.32","2,381.57","2,230.29","2,333.74","2,306.28","2,422.35","1,098.71","1,026.26","2,361.04","2,351.82","2,383.04","2,421.82","2,397.96",969.07,715.16,"1,078.67",892.42,"2,221.85","2,350.08","2,367.87","1,322.96","53,941.01"
18:00:00 - 18:59:59,"1,191.78",980.06,"2,080.46","2,208.20","2,173.87","2,291.06","2,188.79","1,159.73","1,133.54","2,096.24","2,256.53","2,452.07","2,430.89","2,128.37","1,171.84","1,042.26","2,387.74","2,454.24","2,362.47","2,418.95","2,262.38","1,011.24",828.96,"1,052.39",935.58,"2,282.30","2,414.05","2,378.79","1,385.67","53,160.45"
19:00:00 - 19:59:59,"1,279.15","1,155.63","1,903.38","1,874.02","2,024.05","2,001.25","1,903.46","1,292.37","1,291.72","2,192.12","2,108.52","2,062.25","2,132.11","1,732.33","1,669.84","1,335.68","1,899.66","2,124.14","2,272.87","2,056.58","1,885.53","1,122.82",950.50,"1,098.16","1,135.37","1,790.50","1,943.00","2,020.37","1,519.76","49,777.14"
20:00:00 - 20:59:59,"1,048.51","1,147.67","1,402.62","1,430.31","1,524.90","1,507.10","1,562.44","1,217.37","1,176.07","1,490.63","1,314.17","1,488.28","1,495.25","1,483.29","1,275.62","1,236.45","1,431.91","1,398.70","1,666.79","1,602.99","1,497.69",856.04,807.89,789.24,861.39,"1,307.42","1,424.51","1,487.79","1,193.84","38,126.88"
21:00:00 - 21:59:59,937.05,881.27,985.82,"1,091.43","1,134.81","1,154.28","1,135.77",993.59,961.11,"1,035.79","1,110.27","1,130.25","1,120.94","1,099.48","1,096.49",955.43,"1,083.66","1,119.82","1,153.24","1,259.93","1,147.44",719.46,635.63,611.53,631.20,836.36,"1,037.78","1,143.95","1,015.82","29,219.60"
22:00:00 - 22:59:59,884.68,713.58,933.43,956.18,"1,033.19","1,077.07","1,071.39",839.06,750.40,909.57,"1,283.08","1,048.19","1,048.01","1,095.22",935.48,755.19,925.89,"1,043.06","1,045.52","1,076.22",956.45,640.79,525.14,588.26,592.28,751.46,987.53,"1,090.85",871.17,"26,428.34"
23:00:00 - 23:59:59,668.05,506.36,653.61,678.31,708.41,788.71,845.90,733.87,543.03,601.72,727.93,725.76,776.70,876.24,729.11,566.38,602.64,654.00,697.75,728.22,792.76,520.24,352.16,466.79,488.30,579.81,603.29,815.04,753.15,"19,184.24"
Total,"19,539.47","14,482.00","24,061.98","24,886.94","25,370.20","25,610.84","26,435.64","20,776.41","15,646.32","24,810.61","25,378.09","25,435.74","25,839.74","26,334.46","22,091.38","16,367.93","25,497.03","26,201.75","26,407.17","26,789.51","27,205.14","16,517.12","11,527.72","13,437.97","12,545.29","21,745.00","25,378.67","26,586.79","20,759.30","643,666.21"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4951 - Av. Ipiranga DF 15m do nro 8185 - B/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPI4EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPI4FP,Faixa 2 central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPI4GP,Faixa 3 central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPI4HP,Faixa 4 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
00:00:00 - 00:59:59,407.61,439.62,267.29,217.97,0.00,290.45,347.28,428.09,412.62,267.79,217.47,251.11,276.12,304.61,428.46,429.27,235.63,214.80,229.31,285.45,298.78,328.62,309.12,163.30,232.81,254.13,227.98,223.45,360.28,"8,349.42"
01:00:00 - 01:59:59,267.80,281.80,153.64,106.16,77.49,167.81,195.31,283.62,325.15,152.14,125.98,130.64,120.99,176.98,263.80,335.13,133.65,123.48,101.98,131.81,150.31,174.63,184.65,119.48,134.32,132.99,117.82,110.66,221.15,"5,001.37"
02:00:00 - 02:59:59,178.81,197.47,96.65,61.66,73.99,86.48,117.81,193.64,184.65,77.14,81.99,76.14,64.31,86.49,181.33,238.98,55.99,66.49,71.00,91.16,91.15,129.33,143.47,73.99,92.32,89.32,57.99,52.99,157.49,"3,170.23"
03:00:00 - 03:59:59,124.33,157.99,74.33,66.33,70.99,76.99,80.49,174.15,146.16,79.16,64.00,65.49,69.83,74.66,134.16,195.31,86.32,59.33,68.50,84.16,71.66,110.99,102.65,64.66,84.65,58.49,40.15,60.00,134.82,"2,680.75"
04:00:00 - 04:59:59,144.99,146.83,126.97,98.31,116.14,122.31,130.48,166.31,165.31,123.32,91.31,120.32,105.48,108.15,137.15,166.65,133.81,96.64,94.46,101.98,127.30,168.31,98.31,78.66,65.66,112.99,90.15,95.98,166.65,"3,500.93"
05:00:00 - 05:59:59,313.74,238.11,436.41,427.23,463.52,450.88,472.88,340.26,261.46,463.89,422.20,444.70,439.88,482.23,372.09,269.29,475.73,438.25,465.90,478.24,450.05,336.61,196.28,233.11,190.77,426.59,425.86,425.08,297.27,"11,138.51"
06:00:00 - 06:59:59,"1,102.20",725.96,"2,178.91","1,918.66","2,220.20","2,171.79","2,152.18","1,162.53",822.03,"2,332.81","2,247.96","1,968.66","2,194.72","2,308.00","1,111.88",784.93,"2,313.32","2,394.70","2,315.13","2,261.81","2,364.65","1,048.67",593.82,"1,032.26",761.77,"1,964.54","2,295.51","2,284.82","1,133.81","50,168.23"
07:00:00 - 07:59:59,"1,366.80",651.68,"3,036.06","3,103.70","3,056.15","3,019.83","3,073.62","1,486.58",617.41,"3,023.27","3,094.90","3,109.50","3,060.65","3,133.87","1,505.69",883.63,"3,047.16","3,205.52","3,025.89","3,161.94","3,154.93","1,199.25",497.22,"1,085.18",703.86,"2,325.43","2,959.04","3,197.94","1,456.44","66,243.14"
08:00:00 - 08:59:59,"1,401.35",605.05,"2,770.63","2,912.59","2,844.76","2,895.02","2,826.87","1,567.83",558.95,"2,820.06","2,921.63","3,109.49","2,839.91","2,774.92","1,600.88",812.54,"2,958.51","2,962.71","3,028.75","2,968.87","2,890.22","1,195.21",521.41,900.01,512.07,"1,698.33","2,803.72","2,807.52","1,646.14","62,155.95"
09:00:00 - 09:59:59,"1,350.61",676.58,"2,052.62","2,184.46","1,930.76","2,112.29","2,170.80","1,371.41",629.10,"2,053.09","2,200.12","2,142.82","2,242.40","2,418.40","2,954.14",758.04,"2,125.31","2,206.66","2,094.29","2,124.08","1,968.00","1,099.34",556.24,765.53,546.41,"1,399.27","1,723.11","1,972.63","1,576.24","49,404.75"
10:00:00 - 10:59:59,"1,289.11",786.38,"1,629.96","1,512.23","1,521.48","1,683.71","1,656.35","1,364.47",743.90,"1,644.41","1,661.68","1,676.98","1,634.84","1,847.01","1,499.61",855.98,"1,739.51","1,657.15","1,574.99","1,552.03","1,595.30","1,162.48",649.71,838.18,691.58,"1,360.14","1,421.57","1,620.69","1,384.53","40,255.96"
11:00:00 - 11:59:59,"1,178.24",925.31,"1,473.21","1,455.75","1,505.35","1,411.37","1,505.89","1,279.09",987.51,"1,508.72","1,445.20","1,507.16","1,462.22","1,682.85","1,412.73","1,004.14","1,551.49","1,504.71","1,529.11","1,529.53","1,474.52","1,148.07",744.70,802.35,778.16,"1,649.98","1,613.51","1,497.84","1,355.91","38,924.62"
12:00:00 - 12:59:59,"1,160.62",929.18,"1,472.07","1,486.45","1,499.24","1,510.40","1,425.11","1,201.43","1,081.52","1,568.76","1,540.06","1,490.39","1,539.35","1,567.69","1,342.92","1,183.16","1,675.74","1,689.46","1,663.18","1,648.56","1,591.73","1,072.11",739.36,747.52,838.66,"1,770.27","1,598.35","1,662.87","1,277.22","39,973.38"
13:00:00 - 13:59:59,"1,096.13",791.52,"1,683.34","1,785.24","1,734.37","1,713.53","1,589.55","1,185.28",954.84,"1,757.25","1,727.50","1,744.36","1,814.67","1,832.70","1,274.65","1,070.35","1,888.42","1,874.97","1,886.87","1,938.65","1,792.19","1,007.77",691.88,803.51,754.49,"1,766.88","1,943.80","1,903.85","1,166.65","43,175.21"
14:00:00 - 14:59:59,"1,102.32",898.84,"1,570.74",875.34,"1,618.76","1,653.90","1,526.94","1,140.21",894.88,"1,633.75","1,678.60","1,672.90","1,701.70","1,814.18","1,411.96",995.02,"1,694.73","1,631.32","1,582.57","1,634.72","1,505.08",996.49,739.56,846.69,825.53,"1,473.26","1,557.54","1,616.52","1,251.95","39,546.00"
15:00:00 - 15:59:59,"1,142.72","1,053.71","1,483.15",0.00,"1,509.63","1,379.80","1,489.27","1,227.66","1,076.19","1,474.11","1,541.27","1,506.76","1,483.43","1,585.92","1,358.46","1,079.40","1,574.10","1,503.81","1,482.98","1,524.26","1,526.97","1,039.86",802.41,969.19,"1,002.20","1,413.62","1,489.94","1,577.60","1,308.97","37,607.39"
16:00:00 - 16:59:59,"1,202.99","1,124.01","1,364.47",0.00,"1,451.76","1,415.11","1,470.09","1,209.50","1,228.39","1,442.30","1,555.60","1,484.37","1,418.41","1,491.90","1,136.01","1,219.38","1,509.98","1,455.31","1,506.60","1,543.75","1,445.25",995.05,912.24,994.38,"1,127.87","1,265.20","1,391.80","1,512.47","1,456.80","37,330.99"
17:00:00 - 17:59:59,"1,280.30","1,291.16","1,375.55",0.00,"1,532.39","1,460.99","1,541.05","1,354.29","1,280.96","1,465.55","1,680.70","1,554.71","1,531.04","1,629.15","1,142.52","1,269.99","1,547.71","1,584.88","1,601.49","1,604.50","1,469.57",979.46,975.54,"1,060.49","1,165.66","1,440.72","1,522.49","1,631.03","1,491.42","39,465.31"
18:00:00 - 18:59:59,"1,372.73","1,506.31","1,493.39",0.00,"1,462.33","1,530.57","1,469.97","1,483.60","1,646.51","1,501.98","1,471.90","1,544.75","1,525.58","1,542.42","1,212.06","1,641.54","1,454.68","1,544.45","1,536.52","1,493.30","1,430.15","1,184.00","1,168.43","1,238.35","1,284.22","1,602.32","1,488.44","1,575.95","1,544.97","40,951.42"
19:00:00 - 19:59:59,"1,196.82","1,275.40","1,188.95",0.00,"1,281.93","1,325.70","1,297.78","1,372.02","1,373.64","1,207.79","1,153.48","1,348.56","1,358.10","1,301.29","1,459.44","1,433.28","1,220.14","1,213.81","1,293.43","1,247.82","1,201.45","1,077.37",905.49,993.21,928.40,"1,370.57","1,203.26","1,344.12","1,453.42","35,026.67"
20:00:00 - 20:59:59,"1,128.48","1,067.53",914.20,0.00,"1,113.95","1,204.09","1,219.48","1,267.35","1,166.84","1,008.47",939.84,"1,139.77","1,105.96","1,257.59","1,264.68","1,243.48",971.04,957.67,"1,111.80","1,102.34","1,106.31",844.23,706.18,753.84,744.73,890.50,938.13,"1,275.46","1,232.15","29,676.09"
21:00:00 - 21:59:59,915.97,777.37,722.86,0.00,791.65,865.98,"1,063.60",982.54,839.71,750.16,755.37,837.47,866.47,996.45,"1,039.31",937.17,767.34,739.16,815.64,870.82,941.32,636.05,540.91,589.73,593.55,645.37,720.87,985.79,976.49,"22,965.12"
22:00:00 - 22:59:59,763.89,559.36,571.39,0.00,694.71,726.34,813.01,801.37,650.36,614.74,676.72,646.06,721.88,794.33,808.48,677.93,640.03,677.56,670.56,751.20,720.20,462.73,424.72,450.90,507.93,492.08,648.04,788.54,772.36,"18,527.42"
23:00:00 - 23:59:59,543.92,427.25,401.60,0.00,474.27,462.59,637.92,563.60,401.26,393.44,398.94,445.25,500.26,571.40,547.25,429.60,374.44,432.95,460.09,461.27,502.59,375.79,267.63,341.79,331.81,357.76,352.10,526.74,596.24,"12,579.75"
Total,"22,032.48","17,534.42","28,538.39","18,212.08","29,045.82","29,737.93","30,273.73","23,606.83","18,449.35","29,364.10","29,694.42","30,018.36","30,078.20","31,783.19","25,599.66","19,914.19","30,174.78","30,235.79","30,211.04","30,592.25","29,869.68","18,772.42","13,471.93","15,946.31","14,899.43","25,960.75","28,631.17","30,750.54","24,419.37","737,818.61"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4952 - Av. Ipiranga a 16m do nro 2860 - B/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPI5EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPI5FP,Faixa 2 central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPI5GP,Faixa 3 central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPI5HP,Faixa 4 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
00:00:00 - 00:59:59,506.33,502.65,291.71,268.91,343.41,410.70,474.52,533.81,535.21,284.39,239.38,315.24,376.39,417.88,587.85,538.00,255.28,231.54,342.72,416.89,372.69,374.21,351.37,233.92,279.08,243.91,340.40,265.05,496.33,"10,829.77"
01:00:00 - 01:59:59,323.57,318.88,160.62,134.77,166.11,200.90,258.25,357.65,353.59,137.95,144.44,141.12,169.09,238.27,404.68,340.85,142.77,131.12,142.26,184.43,209.59,233.23,222.24,138.78,162.96,144.96,162.78,152.79,297.71,"6,176.36"
02:00:00 - 02:59:59,239.60,232.75,86.79,90.31,76.13,105.30,153.26,290.21,240.44,87.64,59.46,86.47,96.31,111.46,272.91,268.41,70.97,56.98,74.79,126.47,128.28,159.79,163.92,114.80,123.80,79.81,72.64,88.46,216.77,"3,974.93"
03:00:00 - 03:59:59,194.47,186.77,34.99,72.31,57.30,78.48,118.63,210.77,174.12,60.81,54.99,46.81,85.30,110.45,232.76,181.76,59.64,43.15,63.31,69.82,87.81,132.47,116.12,83.64,99.47,52.82,50.15,70.46,172.44,"3,002.02"
04:00:00 - 04:59:59,186.11,191.98,56.99,51.82,77.65,86.49,111.15,205.10,192.96,66.82,56.49,72.15,80.48,99.97,188.13,210.14,74.15,62.99,67.31,73.64,109.32,162.80,103.64,70.16,80.83,81.48,59.14,59.63,159.12,"3,098.64"
