Intervalo de Datas: 01/02/2020 00:00:00 a 29/02/2020 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4FP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
00:00:00 - 00:59:59,293.62,314.08,188.63,196.28,233.13,208.13,268.10,299.29,330.78,194.45,203.47,191.79,198.29,265.12,302.64,348.61,182.79,199.79,178.80,230.12,255.96,287.94,237.13,156.13,165.98,186.98,193.80,198.96,283.11,"6,793.90"
01:00:00 - 01:59:59,201.29,250.45,103.48,100.99,124.15,133.13,146.47,247.97,228.63,113.65,105.48,115.16,115.47,129.32,178.97,267.29,104.14,112.32,107.82,106.65,159.66,187.98,165.14,82.97,105.66,87.00,97.66,115.48,175.48,"4,169.86"
02:00:00 - 02:59:59,113.32,162.65,73.32,60.65,66.82,68.81,96.98,151.30,146.98,66.82,69.98,65.48,67.98,68.99,133.48,173.28,69.49,59.66,57.16,63.32,84.48,141.32,105.15,65.65,84.15,54.66,68.82,57.98,102.32,"2,601.00"
03:00:00 - 03:59:59,81.99,130.31,59.99,60.49,66.00,59.50,52.16,122.15,133.48,66.32,52.99,71.99,51.16,65.99,91.81,138.49,59.33,61.48,70.99,66.99,65.82,103.32,101.65,49.66,58.16,53.99,44.16,51.16,90.66,"2,182.19"
04:00:00 - 04:59:59,120.65,95.33,105.48,97.14,110.81,111.49,116.48,148.98,137.80,103.64,85.32,100.97,88.49,101.48,116.99,135.16,83.48,90.81,100.48,97.31,118.15,181.65,80.99,78.66,58.49,86.98,82.82,92.99,125.15,"3,054.17"
05:00:00 - 05:59:59,279.89,197.78,323.87,305.40,322.02,320.04,363.88,261.41,218.81,318.39,326.23,312.24,331.58,332.06,280.58,212.45,350.04,327.24,326.73,337.21,337.90,337.60,167.12,198.93,140.30,314.12,306.91,312.08,231.91,"8,394.72"
