Intervalo de Datas: 01/03/2020 00:00:00 a 31/03/2020 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:00:00 - 04:59:59,108.47,100.98,79.48,95.48,99.32,107.13,130.48,194.98,93.48,98.14,90.98,90.81,100.81,142.65,161.31,92.65,90.65,92.49,73.64,75.80,56.81,39.66,65.15,60.47,54.48,45.80,59.97,73.99,28.14,57.31,59.82,
05:00:00 - 05:59:59,181.62,347.56,346.06,329.09,327.90,374.58,270.25,236.11,341.88,346.57,328.88,326.39,352.73,254.26,220.60,347.74,323.40,327.08,287.56,288.91,162.43,104.95,234.42,213.07,213.91,188.41,209.60,131.94,90.81,195.41,187.75,
06:00:00 - 06:59:59,381.83,"1,381.99","1,348.18","1,403.04","1,387.02","1,435.35",698.87,463.19,"1,349.19","1,421.81","1,461.98","1,401.83","1,415.78",702.09,467.35,"1,323.89","1,370.85","1,346.65","1,109.42","1,091.56",495.41,318.03,827.81,685.36,662.38,659.53,662.68,428.78,293.54,716.14,694.35,
07:00:00 - 07:59:59,402.55,"1,309.52","1,123.01","1,148.48",990.17,955.34,948.50,475.88,954.54,859.04,885.12,972.57,908.54,978.68,394.21,746.33,"1,161.34","1,204.09","1,161.58","1,182.96",599.56,253.23,939.04,817.26,807.12,815.11,835.27,462.11,227.57,927.10,912.45,
08:00:00 - 08:59:59,415.23,"1,132.20","1,182.43","1,207.13","1,183.22","1,137.82","1,050.00",520.22,"1,191.15","1,153.36","1,206.69","1,148.00","1,102.13","1,045.51",467.56,"1,039.50","1,145.36","1,023.60","1,006.20",979.32,601.82,240.45,717.58,668.58,657.37,661.21,717.58,469.68,202.61,720.37,754.54,
09:00:00 - 09:59:59,553.41,975.39,966.50,931.80,923.08,"1,086.88","1,111.92",622.74,962.41,974.69,935.59,"1,010.39",993.92,984.93,550.41,905.81,905.87,819.49,818.64,833.30,597.87,261.61,609.99,555.17,528.17,549.01,619.83,485.73,244.60,615.49,660.98,
10:00:00 - 10:59:59,612.38,796.98,831.97,813.33,790.49,814.79,947.93,619.70,858.95,848.96,853.48,820.00,891.30,920.46,599.88,830.54,795.78,777.29,771.64,781.34,620.69,316.88,656.00,524.14,589.85,553.82,649.14,488.50,307.41,639.82,624.52,
11:00:00 - 11:59:59,667.51,800.97,873.13,859.66,857.46,836.15,915.78,878.50,851.13,810.68,854.51,814.50,810.83,925.47,669.02,824.53,813.64,755.52,708.83,711.42,678.68,360.53,579.46,589.31,580.96,567.61,636.96,526.19,365.20,559.17,693.68,
12:00:00 - 12:59:59,651.71,905.80,962.98,937.64,928.30,941.96,837.00,712.91,899.17,917.08,956.44,917.63,889.87,810.88,595.40,806.23,842.84,746.02,698.81,775.99,630.41,310.05,562.32,488.32,561.18,585.48,572.97,463.33,310.77,591.34,601.34,
13:00:00 - 13:59:59,588.07,946.59,"1,002.58","1,031.07","1,041.43","1,046.41",830.33,619.68,941.77,"1,004.23","1,058.94","1,003.09","1,000.46",802.50,516.89,992.82,919.91,865.98,767.59,800.32,575.85,315.25,625.82,510.22,554.98,571.50,620.68,459.06,294.24,586.17,639.31,
