data,equipamento,endereco,horario,volume
2020-03-10,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,35.50
2020-03-11,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,54.33
2020-03-12,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,62.00
2020-03-13,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,46.50
2020-03-14,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,125.82
2020-03-15,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,221.81
2020-03-16,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,41.50
2020-03-17,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,42.33
2020-03-18,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,47.33
2020-03-19,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,33.83
2020-03-20,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,32.16
2020-03-21,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,43.33
2020-03-22,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,45.33
2020-03-23,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,23.00
2020-03-24,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,14.50
2020-03-25,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,30.33
2020-03-26,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,24.00
2020-03-27,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,25.00
2020-03-28,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,32.00
2020-03-29,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,41.50
2020-03-30,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,17.00
2020-03-31,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,29.00
2020-03-01,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,117.16
2020-03-02,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,82.16
2020-03-03,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,75.50
2020-03-04,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,96.16
2020-03-05,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,86.99
2020-03-06,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,93.49
2020-03-07,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,137.33
2020-03-08,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,203.49
2020-03-09,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,80.16
2020-03-10,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,98.00
2020-03-11,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,85.16
2020-03-12,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,103.98
2020-03-13,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,89.65
2020-03-14,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,126.82
2020-03-15,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,180.49
2020-03-16,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,82.00
2020-03-17,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,64.83
2020-03-18,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,04:00:00 - 04:59:59,80.50
