2020-04-07,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,38.33
2020-04-08,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,29.33
2020-04-09,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,44.00
2020-04-10,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,60.33
2020-04-11,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,38.00
2020-04-12,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,66.83
2020-04-13,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,31.50
2020-04-14,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,26.83
2020-04-15,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,30.50
2020-04-16,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,40.83
2020-04-17,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,49.66
2020-04-18,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,59.33
2020-04-19,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,63.00
2020-04-20,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,29.00
2020-04-21,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,62.50
2020-04-22,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,44.00
2020-04-23,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,28.66
2020-04-24,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,35.33
2020-04-25,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,84.33
2020-04-26,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,96.66
2020-04-27,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,29.50
2020-04-28,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,41.66
2020-04-29,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,48.33
2020-04-30,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,02:00:00 - 02:59:59,45.50
2020-04-01,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,31.00
2020-04-02,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,26.83
2020-04-03,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,22.00
2020-04-04,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,34.16
2020-04-05,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,45.33
2020-04-06,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,25.00
2020-04-07,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,19.33
2020-04-08,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,28.00
2020-04-09,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,23.83
2020-04-10,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,03:00:00 - 03:59:59,41.50
