Relatório de Fluxo de Hora em Hora por Dia do Mês e UVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endereço: AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Faixa: ANT3AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Período: 01/02/2020 até 29/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento,Periodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
ANT3BL,06:00 - 07:00,"273,7","187,1","428,1","404,6","426,1","403,0","412,1","275,7","176,6","444,6","434,7","430,3","437,3","407,2","252,2","220,6","463,0","460,1","446,7","453,5","449,2","228,1","170,3","194,3","173,2","351,4","419,0","394,6","237,7","10.055,1"
ANT3BL,07:00 - 08:00,"365,2","188,6","650,9","652,9","628,7","668,8","643,9","382,6","182,8","644,4","675,4","662,7","678,9","697,6","393,1","318,6","615,1","670,6","554,2","669,7","694,4","303,4","187,4","271,0","206,3","535,7","665,8","644,2","351,1","14.803,9"
ANT3BL,08:00 - 09:00,"402,6","156,6","604,4","651,3","637,0","643,8","609,2","436,4","167,3","598,0","657,3","597,3","652,8","576,3","454,6","326,4","527,3","691,8","577,0","693,3","646,3","349,6","143,3","238,8","172,0","467,2","585,7","625,4","400,7","14.289,6"
ANT3BL,09:00 - 10:00,"484,7","255,8","589,3","526,7","325,6","598,9","652,3","464,2","223,1","546,5","639,5","619,8","626,8","638,2","499,4","285,3","604,8","664,5","609,3","556,2","492,1","367,6","218,6","253,1","187,5","422,1","457,2","516,0","324,2","13.649,3"
ANT3BL,10:00 - 11:00,"492,2","361,8","583,4","529,0","262,0","578,1","528,0","519,4","320,3","546,7","581,8","572,7","540,0","552,2","556,0","336,2","567,4","573,5","567,1","567,2","513,3","366,4","269,5","320,9","243,6","454,2","455,7","533,8","500,4","13.792,5"
ANT3BL,11:00 - 12:00,"521,5","406,7","515,2","538,8","523,8","524,9","561,9","546,4","429,7","534,8","538,3","496,9","499,2","499,5","539,9","441,4","522,8","554,6","544,3","508,5","503,7","392,9","360,6","316,7","338,3","516,3","549,8","494,0","517,0","14.238,5"
ANT3BL,12:00 - 13:00,"475,0","391,6","497,7","523,3","505,2","500,7","484,7","513,2","434,3","525,8","576,8","513,0","511,8","489,8","561,5","486,7","576,0","588,8","573,0","544,0","553,1","441,2","303,6","322,0","315,8","551,5","555,5","534,8","516,5","14.366,7"
ANT3BL,13:00 - 14:00,"431,7","320,7","66,8","537,7","524,7","529,0","523,8","510,4","367,2","508,5","552,5","525,8","530,2","521,2","552,4","434,2","558,2","543,9","555,7","544,2","566,0","412,4","263,7","313,2","292,6","518,2","562,8","540,8","484,7","13.593,0"
ANT3BL,14:00 - 15:00,"451,0","355,9","88,4","449,7","564,2","560,5","573,2","463,4","323,6","562,0","563,8","595,0","572,3","567,0","610,4","379,4","573,5","532,2","575,4","575,0","561,5","389,3","260,7","302,1","303,7","479,5","563,6","592,1","489,0","13.877,2"
ANT3BL,15:00 - 16:00,"485,1","365,4","496,2","202,7","535,8","521,8","578,9","576,0","382,6","583,3","576,3","571,8","551,9","566,6","583,5","419,1","585,3","585,1","564,5","619,6","583,3","393,1","278,9","352,1","363,1","539,0","533,0","567,3","566,5","14.527,5"
ANT3BL,16:00 - 17:00,"498,9","397,2","541,4","362,9","556,4","588,1","602,3","553,2","426,4","603,3","602,8","596,8","576,8","621,8","474,4","420,3","587,0","585,4","636,3","589,3","590,8","413,4","298,9","385,1","410,7","514,8","547,9","631,9","608,8","15.223,1"
ANT3BL,17:00 - 18:00,"544,5","451,1","614,9","627,2","644,7","651,8","663,4","563,8","481,6","640,0","688,7","641,0","654,5","637,9","476,7","432,5","620,9","641,6","654,8","625,7","651,1","364,2","350,9","413,4","448,2","581,4","628,1","612,6","555,5","16.562,6"
ANT3BL,18:00 - 19:00,"548,2","511,0","663,4","705,2","674,7","671,7","670,6","546,9","589,2","642,1","697,5","674,9","650,4","698,1","479,6","558,0","711,4","706,1","715,9","685,5","706,3","429,2","402,6","473,2","474,9","680,8","677,7","652,9","590,7","17.888,1"
ANT3BL,19:00 - 20:00,"530,2","535,5","597,5","546,7","641,8","616,3","671,8","615,7","601,4","552,2","575,8","645,4","623,2","653,5","645,5","589,5","620,5","651,5","688,5","627,6","636,5","462,6","371,3","378,8","332,8","582,0","625,5","667,6","637,4","16.924,1"
ANT3BL,20:00 - 21:00,"509,9","452,2","422,1","476,0","519,7","542,3","558,5","490,4","475,2","495,0","422,3","507,8","512,0","570,7","518,9","497,9","452,7","502,8","537,5","554,1","445,2","366,4","284,7","281,8","286,6","419,5","421,7","575,5","510,2","13.609,4"
ANT3BL,21:00 - 22:00,"404,9","374,2","338,7","346,7","350,0","361,0","477,6","399,9","355,0","370,4","378,5","380,2","371,4","459,7","461,2","410,1","361,2","364,7","392,8","410,5","402,0","250,6","218,2","214,9","218,8","296,6","343,9","444,2","420,4","10.578,2"
ANT3BL,22:00 - 23:00,"341,7","261,2","292,4","308,4","332,0","328,1","361,3","347,0","270,7","317,0","372,9","358,7","368,5","376,7","365,7","297,2","330,7","412,0","343,4","383,7","350,7","220,7","153,1","184,4","162,3","242,2","367,4","385,8","332,7","9.168,7"
ANT3BL,23:00 - 24:00,"259,6","199,8","174,9","196,4","221,3","238,7","300,3","258,1","178,3","176,1","208,9","208,9","212,9","282,4","281,9","196,6","201,7","231,6","210,4","226,0","235,2","161,8","113,6","139,6","2,3","161,9","181,4","296,6","283,7","6.040,8"
ANT3BL,Total grupo,"8.547,7","6.773,4","8.480,4","8.880,7","9.197,2","9.874,4","10.316,4","9.055,8","7.054,3","9.629,5","10.009,6","9.911,9","9.892,1","10.195,3","9.299,7","7.730,6","9.786,0","10.238,6","10.059,8","10.186,6","9.941,1","6.713,9","4.981,6","5.568,0","5.144,2","8.400,4","9.417,9","9.979,4","8.826,8","254.093,1"
Relatório de Fluxo de Hora em Hora por Dia do Mês e UVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endereço: AV. ANTÔNIO DE CARVALHO A 10M DO Nº 2079, S/N, FAIXA 1 ESQUERDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Faixa: ANT4EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Período: 01/02/2020 até 29/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento,Periodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
ANT4EL,00:00 - 01:00,"235,9","268,1","208,4","186,9","185,6","164,4","229,1","276,2","307,1","200,8","172,6","167,4","184,3","193,3","254,1","299,1","170,4","160,4","142,3","187,8","200,2","207,4","188,6","111,6","88,5","144,1","265,1","153,6","219,4","5.772,8"
ANT4EL,01:00 - 02:00,"169,3","221,6","116,8","82,8","99,1","118,3","125,6","188,0","220,5","136,0","106,5","105,5","96,5","107,5","192,3","225,0","105,5","72,0","103,5","110,6","117,1","168,8","134,3","100,3","100,1","111,3","89,0","86,3","164,5","3.774,1"
